time,reference,T F out,T C in,T F in,T C out
3619676175,296.395542,41.555767,19.08126,41.49798,19.336697
3619676175,296.402836,41.562964,19.01,41.52444,19.344042
3619676176,296.395542,41.440191,19.002654,41.420927,19.297403
3619676176,296.402836,41.466652,18.793808,41.485915,19.265452
3619676177,296.402836,41.505178,18.833118,41.505178,19.344042
3619676177,296.402836,41.659269,18.911736,41.52444,19.245804
3619676178,296.402836,41.640008,19.206506,41.485915,19.344042
3619676178,296.395542,41.459454,18.924042,41.49798,19.336697
3619676179,296.395542,41.420927,18.983001,41.517243,19.21881
3619676179,296.41013,41.107794,19.076302,41.493113,19.292445
3619676180,296.402836,41.408861,19.167208,41.543703,19.363688
3619676180,296.402836,41.408861,18.872428,41.466652,19.245804
3619676181,296.402836,41.351067,18.872428,41.485915,19.363688
3619676181,296.402836,41.640008,19.206506,41.52444,19.324395
3619676182,296.402836,41.505178,19.029652,41.601487,19.304747
3619676182,296.402836,41.697788,19.049304,41.485915,19.304747
3619676183,296.402836,41.389597,18.931389,41.543703,19.304747
3619676183,296.402836,41.562964,18.892082,41.447389,19.363688
3619676184,296.402836,41.505178,19.068956,41.447389,19.363688
3619676184,296.402836,41.562964,19.029652,41.659269,19.344042
3619676185,296.402836,41.582226,18.970695,41.485915,19.2851
3619676185,296.402836,41.331802,19.108257,41.389597,19.245804
3619676186,296.395542,41.709851,19.002654,41.59429,19.297403
3619676186,296.395542,41.652072,19.002654,41.613551,19.356344
3619676187,296.402836,41.139132,18.931389,41.640008,19.363688
3619676187,296.402836,41.274004,18.951042,41.447389,19.344042
3619676188,296.395542,41.401663,18.924042,41.517243,19.297403
3619676188,296.402836,41.601487,19.167208,41.562964,19.2851
3619676189,296.402836,41.755565,18.892082,41.351067,19.265452
3619676189,296.402836,41.543703,18.931389,41.505178,19.324395
3619676190,296.402836,41.312536,19.245804,41.485915,19.344042
3619676190,296.402836,41.52444,19.088607,41.562964,19.344042
3619676191,296.402836,41.466652,18.774152,41.601487,19.383334
3619676191,296.402836,41.254738,19.206506,41.485915,19.363688
3619676192,296.395542,41.247538,18.884734,41.536505,19.336697
3619676192,296.402836,41.562964,19.088607,41.640008,19.2851
3619676193,296.41013,41.47385,18.978042,41.647205,19.292445
3619676193,296.402836,41.485915,19.226155,41.505178,19.363688
3619676194,296.402836,41.408861,19.029652,41.543703,19.383334
3619676194,296.41013,41.435323,19.095953,41.589423,19.351386
3619676195,296.402836,41.408861,18.734839,41.659269,19.344042
3619676195,296.402836,41.447389,19.01,41.543703,19.265452
3619676196,296.402836,41.582226,19.049304,41.659269,19.245804
3619676196,296.402836,41.640008,18.951042,41.52444,19.2851
3619676197,296.402836,41.447389,19.206506,41.447389,19.363688
3619676197,296.402836,41.582226,19.206506,41.582226,19.344042
3619676198,296.402836,41.582226,19.186857,41.562964,19.344042
3619676198,296.41013,41.5509,19.076302,41.570162,19.390679
3619676199,296.402836,41.640008,18.951042,41.408861,19.186857
3619676199,296.402836,41.466652,19.088607,41.659269,19.383334
3619676200,296.402836,41.543703,19.108257,41.543703,19.304747
3619676200,296.402836,41.408861,19.01,41.697788,19.363688
3619676201,296.402836,41.620748,18.970695,41.485915,19.422626
3619676201,296.41013,41.5509,19.135254,41.5509,19.331739
3619676202,296.402836,41.408861,18.892082,41.505178,19.2851
3619676202,296.402836,41.736306,18.970695,41.408861,19.265452
3619676203,296.402836,41.428125,18.774152,41.562964,19.344042
3619676203,296.402836,41.659269,19.186857,41.505178,19.265452
3619676204,296.41013,41.493113,19.253149,41.589423,19.312092
3619676204,296.402836,41.428125,18.931389,41.543703,19.2851
3619676205,296.41013,41.608684,19.036999,41.5509,19.331739
3619676205,296.402836,41.408861,19.147558,41.543703,19.304747
3619676206,296.402836,41.52444,19.265452,41.505178,19.245804
3619676206,296.402836,41.562964,18.990348,41.485915,19.265452
3619676207,296.41013,41.724244,19.095953,41.570162,19.253149
3619676207,296.402836,41.659269,19.049304,41.485915,19.363688
3619676208,296.402836,41.582226,19.068956,41.640008,19.40298
3619676208,296.402836,41.428125,19.088607,41.582226,19.304747
3619676209,296.402836,41.428125,19.01,41.485915,19.2851
3619676209,296.402836,41.678529,19.049304,41.505178,19.324395
3619676210,296.402836,41.562964,18.911736,41.505178,19.324395
3619676210,296.41013,41.47385,19.05665,41.416059,19.371033
3619676211,296.402836,41.370332,18.892082,41.562964,19.344042
3619676211,296.402836,41.466652,19.147558,41.505178,19.2851
3619676212,296.41013,41.396795,19.017347,41.685725,19.292445
3619676212,296.41013,41.743503,18.683217,41.454587,19.272797
3619676213,296.41013,41.107794,18.997695,41.5509,19.312092
3619676213,296.402836,41.29327,18.734839,41.505178,19.383334
3619676214,296.41013,41.435323,18.820811,41.531638,19.331739
3619676214,296.41013,41.204136,19.115603,41.47385,19.312092
3619676215,296.41013,41.339001,19.036999,41.570162,19.292445
3619676215,296.402836,41.755565,18.970695,41.485915,19.363688
3619676216,296.402836,41.562964,19.029652,41.505178,19.167208
3619676216,296.41013,41.358266,19.076302,41.608684,19.312092
3619676217,296.402836,41.254738,19.049304,41.543703,19.344042
3619676217,296.402836,41.505178,19.127908,41.562964,19.304747
3619676218,296.41013,41.5509,19.154904,41.608684,19.390679
3619676218,296.402836,41.505178,18.970695,41.505178,19.344042
3619676219,296.41013,41.647205,19.174553,41.570162,19.292445
3619676219,296.41013,41.281203,19.076302,41.47385,19.351386
3619676220,296.41013,41.531638,18.919083,41.493113,19.272797
3619676220,296.402836,41.216204,19.108257,41.640008,19.363688
3619676221,296.41013,41.493113,19.017347,41.608684,19.351386
3619676221,296.402836,41.389597,19.127908,41.543703,19.324395
3619676222,296.402836,41.52444,18.872428,41.485915,19.265452
3619676222,296.402836,41.351067,19.049304,41.505178,19.40298
3619676223,296.402836,41.100594,18.872428,41.582226,19.344042
3619676223,296.41013,41.647205,18.820811,41.570162,19.292445
3619676224,296.41013,41.454587,18.919083,41.5509,19.351386
3619676224,296.402836,41.466652,18.990348,41.562964,19.304747
3619676225,296.41013,41.5509,18.997695,41.704985,19.2335
3619676225,296.402836,41.447389,18.990348,41.505178,19.245804
3619676226,296.402836,41.408861,19.088607,41.601487,19.344042
3619676226,296.41013,41.377531,18.820811,41.493113,19.351386
3619676227,296.41013,41.627945,18.801155,41.531638,19.331739
3619676227,296.41013,41.570162,19.095953,41.531638,19.390679
3619676228,296.402836,41.389597,18.911736,41.601487,19.344042
3619676228,296.402836,41.52444,19.147558,41.505178,19.2851
3619676229,296.402836,41.832597,19.029652,41.466652,19.2851
3619676229,296.41013,41.416059,19.095953,41.570162,19.371033
3619676230,296.41013,41.416059,18.899429,41.589423,19.292445
3619676230,296.41013,41.416059,19.115603,41.416059,19.331739
