time,reference,T F out,T C in,T F in,T C out
3627490802,298.613057,40.644497,41.164854,40.740877,40.432433
3627490803,298.605762,40.714385,41.350307,40.695109,40.367371
3627490803,298.613057,40.856522,41.164854,40.875795,40.37459
3627490804,298.605762,40.695109,41.273244,40.907125,40.328808
3627490804,298.605762,40.810759,41.253977,40.752935,40.367371
3627490805,298.613057,40.62522,41.280457,40.68305,40.37459
3627490805,298.613057,40.721602,41.415313,40.817975,40.393872
3627490806,298.605762,40.695109,41.23471,40.752935,40.405933
3627490806,298.613057,40.760152,41.261191,40.779427,40.393872
3627490807,298.605762,40.656556,41.311776,40.791485,40.405933
3627490807,298.605762,40.791485,41.542942,40.77221,40.34809
3627490808,298.605762,40.656556,41.331041,40.73366,40.328808
3627490808,298.605762,40.598725,41.215443,40.73366,40.367371
3627490809,298.613057,40.644497,41.241924,40.914341,40.297463
3627490809,298.613057,40.933613,41.530892,40.779427,40.37459
3627490810,298.605762,40.945669,41.29251,40.73366,40.386652
3627490810,298.605762,40.849306,41.388836,40.752935,40.34809
3627490811,298.613057,40.856522,41.35752,40.798701,40.37459
3627490811,298.613057,40.875795,41.299723,40.62522,40.413152
3627490812,298.613057,40.702326,41.280457,40.837249,40.451713
3627490812,298.613057,40.702326,41.338255,40.68305,40.37459
3627490813,298.613057,40.875795,41.318989,40.721602,40.393872
3627490813,298.613057,40.644497,41.35752,40.740877,40.393872
3627490814,298.613057,40.644497,41.376785,40.798701,40.432433
3627490814,298.613057,40.548109,41.184122,40.62522,40.37459
3627490815,298.605762,40.77221,41.697028,40.752935,40.444494
3627490815,298.605762,40.791485,41.446628,40.77221,40.425214
3627490816,298.613057,40.837249,41.51163,40.817975,40.393872
3627490816,298.613057,40.837249,41.35752,40.895068,40.393872
3627490817,298.613057,40.605943,41.453841,40.760152,40.509552
3627490817,298.613057,40.817975,41.376785,40.798701,40.451713
3627490818,298.613057,40.817975,41.318989,40.740877,40.355309
3627490818,298.613057,40.740877,41.261191,40.740877,40.432433
3627490819,298.613057,40.952885,41.318989,40.952885,40.393872
3627490819,298.613057,40.663774,41.280457,40.779427,40.413152
3627490820,298.613057,40.702326,41.280457,40.760152,40.37459
3627490820,298.613057,40.952885,41.396049,40.779427,40.451713
3627490821,298.613057,40.817975,41.184122,40.779427,40.432433
3627490821,298.613057,40.856522,41.396049,40.760152,40.451713
3627490822,298.613057,40.837249,41.338255,40.740877,40.336027
3627490822,298.613057,40.875795,41.299723,40.856522,40.413152
3627490823,298.613057,40.605943,41.376785,40.702326,40.451713
3627490823,298.620351,40.786643,41.210604,40.748094,40.323965
3627490824,298.613057,40.62522,41.241924,40.721602,40.393872
3627490824,298.620351,40.863739,41.326203,40.883012,40.439652
3627490825,298.613057,40.779427,41.51163,40.760152,40.490272
3627490825,298.613057,40.663774,41.781274,40.817975,40.567387
3627490826,298.613057,40.68305,41.396049,40.798701,40.393872
3627490826,298.620351,40.690267,41.229871,40.940829,40.323965
3627490827,298.605762,40.868579,41.427365,40.868579,40.425214
3627490827,298.613057,40.895068,41.415313,40.798701,40.393872
3627490828,298.620351,40.825192,41.249138,41.037184,40.439652
3627490828,298.620351,40.748094,41.364733,40.728819,40.478211
3627490829,298.613057,40.586665,41.35752,40.779427,40.413152
3627490829,298.620351,40.786643,41.364733,40.709543,40.362528
3627490830,298.620351,40.844465,41.249138,40.670991,40.478211
3627490830,298.620351,40.767369,41.345468,40.9601,40.478211
3627490831,298.620351,40.786643,41.480317,40.786643,40.51677
3627490831,298.620351,40.786643,41.403262,40.902284,40.632438
3627490832,298.620351,40.767369,41.345468,40.902284,40.51677
3627490832,298.620351,40.786643,41.345468,40.844465,40.458932
3627490833,298.620351,40.786643,41.538104,40.786643,40.497491
3627490833,298.620351,40.748094,41.345468,40.863739,40.670991
3627490834,298.620351,40.767369,41.326203,40.825192,40.613161
3627490834,298.620351,40.748094,41.249138,41.037184,40.574605
3627490835,298.620351,40.690267,41.210604,40.883012,40.613161
3627490835,298.613057,40.914341,41.415313,40.779427,40.413152
3627490836,298.620351,40.805918,41.518842,40.805918,40.401091
3627490836,298.613057,40.702326,41.35752,40.933613,40.567387
3627490837,298.620351,40.748094,41.480317,40.9601,40.555327
3627490837,298.613057,40.644497,41.338255,40.740877,40.451713
3627490838,298.620351,40.805918,41.480317,41.172068,40.497491
3627490838,298.620351,40.805918,41.268405,40.883012,40.574605
3627490839,298.620351,40.883012,41.326203,40.863739,40.420371
3627490839,298.620351,40.748094,41.306937,41.056454,40.613161
3627490840,298.620351,40.709543,41.345468,40.921557,40.574605
3627490840,298.627646,40.928772,41.237085,40.755311,40.40831
3627490841,298.620351,40.690267,41.326203,40.690267,40.420371
3627490841,298.620351,40.9601,41.306937,40.709543,40.458932
3627490842,298.620351,40.786643,41.326203,40.690267,40.439652
3627490842,298.620351,40.805918,41.287671,40.670991,40.439652
3627490843,298.620351,40.748094,41.287671,40.844465,40.401091
3627490843,298.620351,40.863739,41.403262,40.458932,40.401091
3627490844,298.627646,40.71676,41.294885,40.755311,40.42759
3627490844,298.627646,40.697485,41.371946,40.736036,40.46615
